loan_id,customer_id,age,gender,income,loan_amount,tenure_months,credit_score,employment_status,bank_balance,number_of_loans,missed_payments,defaulted,debt_to_income_ratio,loan_to_bank_balance_ratio,credit_score_category,missed_payment_rate
1,4174,62,Female,237598.0,53527,12,829.0,Full-time,711058,1,2,0,0.22528388286096684,0.07527796607309109,High,2.0
2,4507,22,Female,191521.0,234490,36,626.0,Unemployed,606603,1,2,0,1.2243565979709796,0.38656254584959193,Medium,2.0
3,1860,50,Male,100290.0,149883,6,396.0,Full-time,29086,1,4,1,1.494495961711038,5.153097710238603,Low,4.0
4,2294,18,Male,438832.0,103344,6,812.0,Self-employed,934826,3,2,0,0.23549786706530063,0.11054891498524859,High,0.6666666666666666
5,2130,35,Male,398805.0,165344,6,515.0,Part-time,125604,0,8,0,0.4145986133574052,1.3163911977325562,Low,inf
6,2095,49,Female,280255.0,233564,36,431.0,Part-time,887246,1,0,0,0.8333981552514674,0.2632460445017504,Low,0.0
7,4772,64,Male,334890.0,57153,24,559.0,Part-time,119324,3,3,0,0.17066200842067544,0.47897321578223995,Low,1.0
8,4092,28,Female,117990.0,118042,12,424.0,Full-time,476785,1,9,0,1.0004407153148571,0.24757909749677529,Low,9.0
9,2638,38,Male,108810.0,64110,6,381.0,Part-time,740970,2,9,0,0.5891921698373311,0.08652172152718733,Low,4.5
10,3169,43,Female,168362.0,155051,12,582.0,Unemployed,391065,1,3,0,0.920938216462147,0.3964839604669301,Medium,3.0
11,1466,42,Female,196295.0,251131,6,358.0,Unemployed,3435,1,0,0,1.2793550523446853,73.10946142649199,Low,0.0
12,2238,39,Male,183669.0,249173,36,843.0,Unemployed,887937,4,1,0,1.3566415671670233,0.28062013408608943,High,0.25
13,1330,44,Male,246749.0,38328,24,460.0,Full-time,839763,2,0,1,0.15533193650227559,0.04564144883735054,Low,0.0
14,2482,30,Female,314803.0,122911,12,583.0,Part-time,160014,0,5,0,0.39043782937265525,0.7681265389278438,Medium,inf
15,3135,50,Male,136516.0,285011,36,405.0,Full-time,714995,1,2,0,2.0877479562835126,0.3986195707662291,Low,2.0
16,4444,51,Female,124567.0,69234,12,404.0,Part-time,422275,0,6,0,0.5557972817841002,0.16395476881179327,Low,inf
17,4171,58,Male,327181.0,297995,24,738.0,Self-employed,712917,2,4,0,0.9107955535315315,0.4179939600262022,High,2.0
18,3919,52,Male,176498.0,258503,36,527.0,Self-employed,375601,1,8,0,1.4646228285872929,0.6882383167243964,Low,8.0
19,4735,18,Male,227810.0,237135,12,617.0,Full-time,838821,4,6,0,1.0409332338352135,0.2827003615789304,Medium,1.5
20,1130,38,Male,62109.0,83402,24,763.0,Unemployed,839446,3,3,0,1.3428327617575553,0.09935362131691616,High,1.0
21,2685,23,Female,334154.0,287593,12,771.0,Full-time,426042,4,4,0,0.8606600549447261,0.6750343862811647,High,1.0
22,4380,45,Male,320931.0,15451,12,355.0,Unemployed,292441,4,4,0,0.04814430516216882,0.05283458885723958,Low,1.0
23,1769,34,Female,289472.0,97178,6,559.5,Part-time,568178,3,4,0,0.33570777139066993,0.17103442935136523,Low,1.3333333333333333
24,3391,22,Female,189544.0,246562,12,739.0,Unemployed,283466,3,9,0,1.3008166969147006,0.8698115470638454,High,3.0
25,2515,48,Female,296183.0,133765,24,317.0,Unemployed,560027,3,8,0,0.45162956685562644,0.23885455522680157,Low,2.6666666666666665
26,4485,22,Male,204455.0,138389,36,412.0,Part-time,402935,1,9,0,0.6768677704140276,0.3434524178837778,Low,9.0
27,3853,55,Female,373853.0,199699,24,528.0,Self-employed,603841,0,2,1,0.5341644978106368,0.33071454240437465,Low,inf
28,3433,20,Female,280255.0,207227,36,470.0,Part-time,8314,0,5,0,0.739423025458957,24.925066153476063,Low,inf
29,2215,40,Male,84518.0,297516,36,594.0,Full-time,618119,3,7,0,3.5201495539411725,0.4813247934459222,Medium,2.3333333333333335
30,1955,54,Male,103909.0,275786,6,488.0,Full-time,861596,4,8,0,2.6541108084958953,0.320087372736178,Low,2.0
31,3324,54,Female,330495.0,270220,12,725.0,Full-time,369802,2,6,1,0.8176220517708286,0.7307153557849877,High,3.0
32,2184,27,Male,250696.0,235898,6,378.0,Full-time,863460,3,2,0,0.9409723330248588,0.2732008431195423,Low,0.6666666666666666
33,1459,27,Male,496546.0,286266,24,481.0,Full-time,822545,4,0,0,0.5765145625984299,0.3480247281303758,Low,0.0
34,4385,36,Female,65282.0,78431,36,798.0,Self-employed,641462,4,3,0,1.2014184614441958,0.12226912895853534,High,0.75
35,1021,34,Female,289017.0,65745,6,370.0,Self-employed,146429,1,5,0,0.22747796842400275,0.4489889297884982,Low,5.0
36,3300,38,Female,464994.0,60081,24,547.0,Unemployed,229937,1,2,0,0.1292081188144363,0.2612933107764301,Low,2.0
